deposit the first,age,gender,gift,mobile banking,special benefits,label
42200,61,Both,no,yes,yes,Achara Account-NDB Bank
42300,62,Both,no,yes,yes,Achara Account-NDB Bank
42400,63,Both,no,yes,yes,Achara Account-NDB Bank
42500,64,Both,no,yes,yes,Achara Account-NDB Bank
42600,65,Both,no,yes,yes,Achara Account-NDB Bank
42700,66,Both,no,yes,yes,Achara Account-NDB Bank
42800,67,Both,no,yes,yes,Achara Account-NDB Bank
42900,68,Both,no,yes,yes,Achara Account-NDB Bank
43000,69,Both,no,yes,yes,Achara Account-NDB Bank
43100,70,Both,no,yes,yes,Achara Account-NDB Bank
43200,71,Both,no,yes,yes,Achara Account-NDB Bank
43300,72,Both,no,yes,yes,Achara Account-NDB Bank
43400,73,Both,no,yes,yes,Achara Account-NDB Bank
43500,74,Both,no,yes,yes,Achara Account-NDB Bank
43600,75,Both,no,yes,yes,Achara Account-NDB Bank
43700,76,Both,no,yes,yes,Achara Account-NDB Bank
45200,91,Both,no,yes,yes,Achara Account-NDB Bank
45300,92,Both,no,yes,yes,Achara Account-NDB Bank
45400,93,Both,no,yes,yes,Achara Account-NDB Bank
45500,94,Both,no,yes,yes,Achara Account-NDB Bank
45600,95,Both,no,yes,yes,Achara Account-NDB Bank
45700,96,Both,no,yes,yes,Achara Account-NDB Bank
45800,97,Both,no,yes,yes,Achara Account-NDB Bank
45900,98,Both,no,yes,yes,Achara Account-NDB Bank
46000,99,Both,no,yes,yes,Achara Account-NDB Bank
46100,100,Both,no,yes,yes,Achara Account-NDB Bank
46200,55,Both,no,yes,yes,Achara Account-NDB Bank
46300,56,Both,no,yes,yes,Achara Account-NDB Bank
46400,57,Both,no,yes,yes,Achara Account-NDB Bank
46500,58,Both,no,yes,yes,Achara Account-NDB Bank
46600,59,Both,no,yes,yes,Achara Account-NDB Bank
46700,60,Both,no,yes,yes,Achara Account-NDB Bank
46800,61,Both,no,yes,yes,Achara Account-NDB Bank
46900,62,Both,no,yes,yes,Achara Account-NDB Bank
47000,63,Both,no,yes,yes,Achara Account-NDB Bank
47100,64,Both,no,yes,yes,Achara Account-NDB Bank
47200,65,Both,no,yes,yes,Achara Account-NDB Bank
47300,66,Both,no,yes,yes,Achara Account-NDB Bank
47400,67,Both,no,yes,yes,Achara Account-NDB Bank
47500,68,Both,no,yes,yes,Achara Account-NDB Bank
47600,69,Both,no,yes,yes,Achara Account-NDB Bank
47700,70,Both,no,yes,yes,Achara Account-NDB Bank
47800,71,Both,no,yes,yes,Achara Account-NDB Bank
47900,72,Both,no,yes,yes,Achara Account-NDB Bank
48000,73,Both,no,yes,yes,Achara Account-NDB Bank
49000,83,Both,no,yes,yes,Achara Account-NDB Bank
49100,84,Both,no,yes,yes,Achara Account-NDB Bank
49200,85,Both,no,yes,yes,Achara Account-NDB Bank
49300,86,Both,no,yes,yes,Achara Account-NDB Bank
49400,87,Both,no,yes,yes,Achara Account-NDB Bank
49500,88,Both,no,yes,yes,Achara Account-NDB Bank
49600,89,Both,no,yes,yes,Achara Account-NDB Bank
49700,90,Both,no,yes,yes,Achara Account-NDB Bank
49800,91,Both,no,yes,yes,Achara Account-NDB Bank
49900,92,Both,no,yes,yes,Achara Account-NDB Bank
50000,55,Both,no,yes,yes,Sanhida Account-Sampath Bank
52000,56,Both,no,yes,yes,Sanhida Account-Sampath Bank
54000,57,Both,no,yes,yes,Sanhida Account-Sampath Bank
56000,58,Both,no,yes,yes,Sanhida Account-Sampath Bank
58000,59,Both,no,yes,yes,Sanhida Account-Sampath Bank
60000,60,Both,no,yes,yes,Sanhida Account-Sampath Bank
62000,61,Both,no,yes,yes,Sanhida Account-Sampath Bank
64000,62,Both,no,yes,yes,Sanhida Account-Sampath Bank
66000,63,Both,no,yes,yes,Sanhida Account-Sampath Bank
68000,64,Both,no,yes,yes,Sanhida Account-Sampath Bank
70000,65,Both,no,yes,yes,Sanhida Account-Sampath Bank
72000,66,Both,no,yes,yes,Sanhida Account-Sampath Bank
74000,67,Both,no,yes,yes,Sanhida Account-Sampath Bank
76000,68,Both,no,yes,yes,Sanhida Account-Sampath Bank
78000,69,Both,no,yes,yes,Sanhida Account-Sampath Bank
80000,70,Both,no,yes,yes,Sanhida Account-Sampath Bank
82000,71,Both,no,yes,yes,Sanhida Account-Sampath Bank
84000,72,Both,no,yes,yes,Sanhida Account-Sampath Bank
86000,73,Both,no,yes,yes,Sanhida Account-Sampath Bank
88000,74,Both,no,yes,yes,Sanhida Account-Sampath Bank
90000,75,Both,no,yes,yes,Sanhida Account-Sampath Bank
92000,76,Both,no,yes,yes,Sanhida Account-Sampath Bank
94000,77,Both,no,yes,yes,Sanhida Account-Sampath Bank
96000,78,Both,no,yes,yes,Sanhida Account-Sampath Bank
98000,79,Both,no,yes,yes,Sanhida Account-Sampath Bank
100000,80,Both,no,yes,yes,Sanhida Account-Sampath Bank
102000,81,Both,no,yes,yes,Sanhida Account-Sampath Bank
104000,82,Both,no,yes,yes,Sanhida Account-Sampath Bank
106000,83,Both,no,yes,yes,Sanhida Account-Sampath Bank
108000,84,Both,no,yes,yes,Sanhida Account-Sampath Bank
110000,85,Both,no,yes,yes,Sanhida Account-Sampath Bank
112000,86,Both,no,yes,yes,Sanhida Account-Sampath Bank
114000,87,Both,no,yes,yes,Sanhida Account-Sampath Bank
116000,88,Both,no,yes,yes,Sanhida Account-Sampath Bank
118000,89,Both,no,yes,yes,Sanhida Account-Sampath Bank
120000,90,Both,no,yes,yes,Sanhida Account-Sampath Bank
122000,91,Both,no,yes,yes,Sanhida Account-Sampath Bank
124000,92,Both,no,yes,yes,Sanhida Account-Sampath Bank
126000,93,Both,no,yes,yes,Sanhida Account-Sampath Bank
128000,94,Both,no,yes,yes,Sanhida Account-Sampath Bank
130000,95,Both,no,yes,yes,Sanhida Account-Sampath Bank
132000,96,Both,no,yes,yes,Sanhida Account-Sampath Bank
134000,97,Both,no,yes,yes,Sanhida Account-Sampath Bank
136000,98,Both,no,yes,yes,Sanhida Account-Sampath Bank
138000,99,Both,no,yes,yes,Sanhida Account-Sampath Bank
140000,100,Both,no,yes,yes,Sanhida Account-Sampath Bank
142000,55,Both,no,yes,yes,Sanhida Account-Sampath Bank
144000,56,Both,no,yes,yes,Sanhida Account-Sampath Bank
146000,57,Both,no,yes,yes,Sanhida Account-Sampath Bank
148000,58,Both,no,yes,yes,Sanhida Account-Sampath Bank
150000,59,Both,no,yes,yes,Sanhida Account-Sampath Bank
152000,60,Both,no,yes,yes,Sanhida Account-Sampath Bank
154000,61,Both,no,yes,yes,Sanhida Account-Sampath Bank
156000,62,Both,no,yes,yes,Sanhida Account-Sampath Bank
158000,63,Both,no,yes,yes,Sanhida Account-Sampath Bank
160000,64,Both,no,yes,yes,Sanhida Account-Sampath Bank
162000,65,Both,no,yes,yes,Sanhida Account-Sampath Bank
164000,66,Both,no,yes,yes,Sanhida Account-Sampath Bank
166000,67,Both,no,yes,yes,Sanhida Account-Sampath Bank
168000,68,Both,no,yes,yes,Sanhida Account-Sampath Bank
170000,69,Both,no,yes,yes,Sanhida Account-Sampath Bank
172000,70,Both,no,yes,yes,Sanhida Account-Sampath Bank
174000,71,Both,no,yes,yes,Sanhida Account-Sampath Bank
176000,72,Both,no,yes,yes,Sanhida Account-Sampath Bank
178000,73,Both,no,yes,yes,Sanhida Account-Sampath Bank
180000,74,Both,no,yes,yes,Sanhida Account-Sampath Bank
182000,75,Both,no,yes,yes,Sanhida Account-Sampath Bank
184000,76,Both,no,yes,yes,Sanhida Account-Sampath Bank
186000,77,Both,no,yes,yes,Sanhida Account-Sampath Bank
188000,78,Both,no,yes,yes,Sanhida Account-Sampath Bank
190000,79,Both,no,yes,yes,Sanhida Account-Sampath Bank
192000,80,Both,no,yes,yes,Sanhida Account-Sampath Bank
194000,81,Both,no,yes,yes,Sanhida Account-Sampath Bank
196000,82,Both,no,yes,yes,Sanhida Account-Sampath Bank
198000,83,Both,no,yes,yes,Sanhida Account-Sampath Bank
200000,84,Both,no,yes,yes,Sanhida Account-Sampath Bank
202000,85,Both,no,yes,yes,Sanhida Account-Sampath Bank
204000,86,Both,no,yes,yes,Sanhida Account-Sampath Bank
206000,87,Both,no,yes,yes,Sanhida Account-Sampath Bank
1000,18,female,no,yes,yes,Vanitha Vasana- People's Bank
1400,19,female,no,yes,yes,Vanitha Vasana- People's Bank
1800,20,female,no,yes,yes,Vanitha Vasana- People's Bank
2200,21,female,no,yes,yes,Vanitha Vasana- People's Bank
2600,22,female,no,yes,yes,Vanitha Vasana- People's Bank
3000,23,female,no,yes,yes,Vanitha Vasana- People's Bank
3400,24,female,no,yes,yes,Vanitha Vasana- People's Bank
3800,25,female,no,yes,yes,Vanitha Vasana- People's Bank
4200,26,female,no,yes,yes,Vanitha Vasana- People's Bank
4600,27,female,no,yes,yes,Vanitha Vasana- People's Bank
5000,28,female,no,yes,yes,Vanitha Vasana- People's Bank
5400,29,female,no,yes,yes,Vanitha Vasana- People's Bank
5800,30,female,no,yes,yes,Vanitha Vasana- People's Bank
6200,31,female,no,yes,yes,Vanitha Vasana- People's Bank
6600,32,female,no,yes,yes,Vanitha Vasana- People's Bank
7000,33,female,no,yes,yes,Vanitha Vasana- People's Bank
7400,34,female,no,yes,yes,Vanitha Vasana- People's Bank
7800,35,female,no,yes,yes,Vanitha Vasana- People's Bank
8200,36,female,no,yes,yes,Vanitha Vasana- People's Bank
8600,37,female,no,yes,yes,Vanitha Vasana- People's Bank
9000,38,female,no,yes,yes,Vanitha Vasana- People's Bank
9400,39,female,no,yes,yes,Vanitha Vasana- People's Bank
9800,40,female,no,yes,yes,Vanitha Vasana- People's Bank
10200,41,female,no,yes,yes,Vanitha Vasana- People's Bank
10600,42,female,no,yes,yes,Vanitha Vasana- People's Bank
11000,43,female,no,yes,yes,Vanitha Vasana- People's Bank
11400,44,female,no,yes,yes,Vanitha Vasana- People's Bank
11800,45,female,no,yes,yes,Vanitha Vasana- People's Bank
12200,46,female,no,yes,yes,Vanitha Vasana- People's Bank
12600,47,female,no,yes,yes,Vanitha Vasana- People's Bank
13000,48,female,no,yes,yes,Vanitha Vasana- People's Bank
13400,49,female,no,yes,yes,Vanitha Vasana- People's Bank
13800,50,female,no,yes,yes,Vanitha Vasana- People's Bank
14200,51,female,no,yes,yes,Vanitha Vasana- People's Bank
14600,52,female,no,yes,yes,Vanitha Vasana- People's Bank
15000,53,female,no,yes,yes,Vanitha Vasana- People's Bank
15400,54,female,no,yes,yes,Vanitha Vasana- People's Bank
15800,55,female,no,yes,yes,Vanitha Vasana- People's Bank
16200,18,female,no,yes,yes,Vanitha Vasana- People's Bank
16600,19,female,no,yes,yes,Vanitha Vasana- People's Bank
17000,20,female,no,yes,yes,Vanitha Vasana- People's Bank
17400,21,female,no,yes,yes,Vanitha Vasana- People's Bank
17800,22,female,no,yes,yes,Vanitha Vasana- People's Bank
18200,23,female,no,yes,yes,Vanitha Vasana- People's Bank
18600,24,female,no,yes,yes,Vanitha Vasana- People's Bank
19000,25,female,no,yes,yes,Vanitha Vasana- People's Bank
19400,26,female,no,yes,yes,Vanitha Vasana- People's Bank
19800,27,female,no,yes,yes,Vanitha Vasana- People's Bank
20200,28,female,no,yes,yes,Vanitha Vasana- People's Bank
20600,29,female,no,yes,yes,Vanitha Vasana- People's Bank
21000,30,female,no,yes,yes,Vanitha Vasana- People's Bank
21400,31,female,no,yes,yes,Vanitha Vasana- People's Bank
21800,32,female,no,yes,yes,Vanitha Vasana- People's Bank
22200,33,female,no,yes,yes,Vanitha Vasana- People's Bank
22600,34,female,no,yes,yes,Vanitha Vasana- People's Bank
23000,35,female,no,yes,yes,Vanitha Vasana- People's Bank
23400,36,female,no,yes,yes,Vanitha Vasana- People's Bank
23800,37,female,no,yes,yes,Vanitha Vasana- People's Bank
24200,38,female,no,yes,yes,Vanitha Vasana- People's Bank
24600,39,female,no,yes,yes,Vanitha Vasana- People's Bank
25000,40,female,no,yes,yes,Vanitha Vasana- People's Bank
25400,41,female,no,yes,yes,Vanitha Vasana- People's Bank
25800,42,female,no,yes,yes,Vanitha Vasana- People's Bank
26200,43,female,no,yes,yes,Vanitha Vasana- People's Bank
26600,44,female,no,yes,yes,Vanitha Vasana- People's Bank
27000,45,female,no,yes,yes,Vanitha Vasana- People's Bank
27400,46,female,no,yes,yes,Vanitha Vasana- People's Bank
27800,47,female,no,yes,yes,Vanitha Vasana- People's Bank
28200,48,female,no,yes,yes,Vanitha Vasana- People's Bank
28600,49,female,no,yes,yes,Vanitha Vasana- People's Bank
29000,50,female,no,yes,yes,Vanitha Vasana- People's Bank
29400,51,female,no,yes,yes,Vanitha Vasana- People's Bank
29800,52,female,no,yes,yes,Vanitha Vasana- People's Bank
30200,53,female,no,yes,yes,Vanitha Vasana- People's Bank
30600,54,female,no,yes,yes,Vanitha Vasana- People's Bank
31000,55,female,no,yes,yes,Vanitha Vasana- People's Bank
31400,18,female,no,yes,yes,Vanitha Vasana- People's Bank
31800,19,female,no,yes,yes,Vanitha Vasana- People's Bank
32200,20,female,no,yes,yes,Vanitha Vasana- People's Bank
32600,21,female,no,yes,yes,Vanitha Vasana- People's Bank
33000,22,female,no,yes,yes,Vanitha Vasana- People's Bank
33400,23,female,no,yes,yes,Vanitha Vasana- People's Bank
33800,24,female,no,yes,yes,Vanitha Vasana- People's Bank
34200,25,female,no,yes,yes,Vanitha Vasana- People's Bank
34600,26,female,no,yes,yes,Vanitha Vasana- People's Bank
35000,27,female,no,yes,yes,Vanitha Vasana- People's Bank
35400,28,female,no,yes,yes,Vanitha Vasana- People's Bank
35800,29,female,no,yes,yes,Vanitha Vasana- People's Bank
36200,30,female,no,yes,yes,Vanitha Vasana- People's Bank
36600,31,female,no,yes,yes,Vanitha Vasana- People's Bank
37000,32,female,no,yes,yes,Vanitha Vasana- People's Bank
37400,33,female,no,yes,yes,Vanitha Vasana- People's Bank
37800,34,female,no,yes,yes,Vanitha Vasana- People's Bank
38200,35,female,no,yes,yes,Vanitha Vasana- People's Bank
38600,36,female,no,yes,yes,Vanitha Vasana- People's Bank
39000,37,female,no,yes,yes,Vanitha Vasana- People's Bank
39400,38,female,no,yes,yes,Vanitha Vasana- People's Bank
39800,39,female,no,yes,yes,Vanitha Vasana- People's Bank
40200,40,female,no,yes,yes,Vanitha Vasana- People's Bank
40600,41,female,no,yes,yes,Vanitha Vasana- People's Bank
41000,42,female,no,yes,yes,Vanitha Vasana- People's Bank
41400,43,female,no,yes,yes,Vanitha Vasana- People's Bank
41800,44,female,no,yes,yes,Vanitha Vasana- People's Bank
42200,45,female,no,yes,yes,Vanitha Vasana- People's Bank
42600,46,female,no,yes,yes,Vanitha Vasana- People's Bank
43000,47,female,no,yes,yes,Vanitha Vasana- People's Bank
43400,48,female,no,yes,yes,Vanitha Vasana- People's Bank
43800,49,female,no,yes,yes,Vanitha Vasana- People's Bank
44200,50,female,no,yes,yes,Vanitha Vasana- People's Bank
44600,51,female,no,yes,yes,Vanitha Vasana- People's Bank
45000,52,female,no,yes,yes,Vanitha Vasana- People's Bank
45400,53,female,no,yes,yes,Vanitha Vasana- People's Bank
45800,54,female,no,yes,yes,Vanitha Vasana- People's Bank
46200,55,female,no,yes,yes,Vanitha Vasana- People's Bank
46600,18,female,no,yes,yes,Vanitha Vasana- People's Bank
47000,19,female,no,yes,yes,Vanitha Vasana- People's Bank
47400,20,female,no,yes,yes,Vanitha Vasana- People's Bank
47800,21,female,no,yes,yes,Vanitha Vasana- People's Bank
48200,22,female,no,yes,yes,Vanitha Vasana- People's Bank
48600,23,female,no,yes,yes,Vanitha Vasana- People's Bank
49000,24,female,no,yes,yes,Vanitha Vasana- People's Bank
49400,25,female,no,yes,yes,Vanitha Vasana- People's Bank
49800,26,female,no,yes,yes,Vanitha Vasana- People's Bank
50200,27,female,no,yes,yes,Vanitha Vasana- People's Bank
50600,28,female,no,yes,yes,Vanitha Vasana- People's Bank
51000,29,female,no,yes,yes,Vanitha Vasana- People's Bank
51400,30,female,no,yes,yes,Vanitha Vasana- People's Bank
51800,31,female,no,yes,yes,Vanitha Vasana- People's Bank
52200,32,female,no,yes,yes,Vanitha Vasana- People's Bank
52600,33,female,no,yes,yes,Vanitha Vasana- People's Bank
53000,34,female,no,yes,yes,Vanitha Vasana- People's Bank
53400,35,female,no,yes,yes,Vanitha Vasana- People's Bank
53800,36,female,no,yes,yes,Vanitha Vasana- People's Bank
54200,37,female,no,yes,yes,Vanitha Vasana- People's Bank
54600,38,female,no,yes,yes,Vanitha Vasana- People's Bank
55000,39,female,no,yes,yes,Vanitha Vasana- People's Bank
55400,40,female,no,yes,yes,Vanitha Vasana- People's Bank
55800,41,female,no,yes,yes,Vanitha Vasana- People's Bank
56200,42,female,no,yes,yes,Vanitha Vasana- People's Bank
56600,43,female,no,yes,yes,Vanitha Vasana- People's Bank
57000,44,female,no,yes,yes,Vanitha Vasana- People's Bank
57400,45,female,no,yes,yes,Vanitha Vasana- People's Bank
57800,46,female,no,yes,yes,Vanitha Vasana- People's Bank
58200,47,female,no,yes,yes,Vanitha Vasana- People's Bank
58600,48,female,no,yes,yes,Vanitha Vasana- People's Bank
59000,49,female,no,yes,yes,Vanitha Vasana- People's Bank
59400,50,female,no,yes,yes,Vanitha Vasana- People's Bank
59800,51,female,no,yes,yes,Vanitha Vasana- People's Bank
60200,52,female,no,yes,yes,Vanitha Vasana- People's Bank
60600,53,female,no,yes,yes,Vanitha Vasana- People's Bank
61000,54,female,no,yes,yes,Vanitha Vasana- People's Bank
61400,55,female,no,yes,yes,Vanitha Vasana- People's Bank
61800,18,female,no,yes,yes,Vanitha Vasana- People's Bank
62200,19,female,no,yes,yes,Vanitha Vasana- People's Bank
62600,20,female,no,yes,yes,Vanitha Vasana- People's Bank
63000,21,female,no,yes,yes,Vanitha Vasana- People's Bank
63400,22,female,no,yes,yes,Vanitha Vasana- People's Bank
63800,23,female,no,yes,yes,Vanitha Vasana- People's Bank
64200,24,female,no,yes,yes,Vanitha Vasana- People's Bank
64600,25,female,no,yes,yes,Vanitha Vasana- People's Bank
65000,26,female,no,yes,yes,Vanitha Vasana- People's Bank
65400,27,female,no,yes,yes,Vanitha Vasana- People's Bank
65800,28,female,no,yes,yes,Vanitha Vasana- People's Bank
66200,29,female,no,yes,yes,Vanitha Vasana- People's Bank
66600,30,female,no,yes,yes,Vanitha Vasana- People's Bank
67000,31,female,no,yes,yes,Vanitha Vasana- People's Bank
67400,32,female,no,yes,yes,Vanitha Vasana- People's Bank
67800,33,female,no,yes,yes,Vanitha Vasana- People's Bank
68200,34,female,no,yes,yes,Vanitha Vasana- People's Bank
68600,35,female,no,yes,yes,Vanitha Vasana- People's Bank
69000,36,female,no,yes,yes,Vanitha Vasana- People's Bank
69400,37,female,no,yes,yes,Vanitha Vasana- People's Bank
69800,38,female,no,yes,yes,Vanitha Vasana- People's Bank
70200,39,female,no,yes,yes,Vanitha Vasana- People's Bank
70600,40,female,no,yes,yes,Vanitha Vasana- People's Bank
71000,41,female,no,yes,yes,Vanitha Vasana- People's Bank
71400,42,female,no,yes,yes,Vanitha Vasana- People's Bank
71800,43,female,no,yes,yes,Vanitha Vasana- People's Bank
72200,44,female,no,yes,yes,Vanitha Vasana- People's Bank
72600,45,female,no,yes,yes,Vanitha Vasana- People's Bank
73000,46,female,no,yes,yes,Vanitha Vasana- People's Bank
73400,47,female,no,yes,yes,Vanitha Vasana- People's Bank
73800,48,female,no,yes,yes,Vanitha Vasana- People's Bank
74200,49,female,no,yes,yes,Vanitha Vasana- People's Bank
74600,50,female,no,yes,yes,Vanitha Vasana- People's Bank
75000,51,female,no,yes,yes,Vanitha Vasana- People's Bank
75400,52,female,no,yes,yes,Vanitha Vasana- People's Bank
75800,53,female,no,yes,yes,Vanitha Vasana- People's Bank
76200,54,female,no,yes,yes,Vanitha Vasana- People's Bank
76600,55,female,no,yes,yes,Vanitha Vasana- People's Bank
77000,18,female,no,yes,yes,Vanitha Vasana- People's Bank
77400,19,female,no,yes,yes,Vanitha Vasana- People's Bank
77800,20,female,no,yes,yes,Vanitha Vasana- People's Bank
78200,21,female,no,yes,yes,Vanitha Vasana- People's Bank
78600,22,female,no,yes,yes,Vanitha Vasana- People's Bank
79000,23,female,no,yes,yes,Vanitha Vasana- People's Bank
79400,24,female,no,yes,yes,Vanitha Vasana- People's Bank
79800,25,female,no,yes,yes,Vanitha Vasana- People's Bank
80200,26,female,no,yes,yes,Vanitha Vasana- People's Bank
80600,27,female,no,yes,yes,Vanitha Vasana- People's Bank
81000,28,female,no,yes,yes,Vanitha Vasana- People's Bank
81400,29,female,no,yes,yes,Vanitha Vasana- People's Bank
81800,30,female,no,yes,yes,Vanitha Vasana- People's Bank
82200,31,female,no,yes,yes,Vanitha Vasana- People's Bank
82600,32,female,no,yes,yes,Vanitha Vasana- People's Bank
83000,33,female,no,yes,yes,Vanitha Vasana- People's Bank
83400,34,female,no,yes,yes,Vanitha Vasana- People's Bank
83800,35,female,no,yes,yes,Vanitha Vasana- People's Bank
84200,36,female,no,yes,yes,Vanitha Vasana- People's Bank
84600,37,female,no,yes,yes,Vanitha Vasana- People's Bank
85000,38,female,no,yes,yes,Vanitha Vasana- People's Bank
85400,39,female,no,yes,yes,Vanitha Vasana- People's Bank
85800,40,female,no,yes,yes,Vanitha Vasana- People's Bank
86200,41,female,no,yes,yes,Vanitha Vasana- People's Bank
86600,42,female,no,yes,yes,Vanitha Vasana- People's Bank
87000,43,female,no,yes,yes,Vanitha Vasana- People's Bank
87400,44,female,no,yes,yes,Vanitha Vasana- People's Bank
87800,45,female,no,yes,yes,Vanitha Vasana- People's Bank
88200,46,female,no,yes,yes,Vanitha Vasana- People's Bank
88600,47,female,no,yes,yes,Vanitha Vasana- People's Bank
89000,48,female,no,yes,yes,Vanitha Vasana- People's Bank
89400,49,female,no,yes,yes,Vanitha Vasana- People's Bank
89800,50,female,no,yes,yes,Vanitha Vasana- People's Bank
90200,51,female,no,yes,yes,Vanitha Vasana- People's Bank
90600,52,female,no,yes,yes,Vanitha Vasana- People's Bank
91000,53,female,no,yes,yes,Vanitha Vasana- People's Bank
91400,54,female,no,yes,yes,Vanitha Vasana- People's Bank
91800,55,female,no,yes,yes,Vanitha Vasana- People's Bank
92200,18,female,no,yes,yes,Vanitha Vasana- People's Bank
92600,19,female,no,yes,yes,Vanitha Vasana- People's Bank
93000,20,female,no,yes,yes,Vanitha Vasana- People's Bank
93400,21,female,no,yes,yes,Vanitha Vasana- People's Bank
93800,22,female,no,yes,yes,Vanitha Vasana- People's Bank
94200,23,female,no,yes,yes,Vanitha Vasana- People's Bank
94600,24,female,no,yes,yes,Vanitha Vasana- People's Bank
95000,25,female,no,yes,yes,Vanitha Vasana- People's Bank
95400,26,female,no,yes,yes,Vanitha Vasana- People's Bank
95800,27,female,no,yes,yes,Vanitha Vasana- People's Bank
96200,28,female,no,yes,yes,Vanitha Vasana- People's Bank
96600,29,female,no,yes,yes,Vanitha Vasana- People's Bank
97000,30,female,no,yes,yes,Vanitha Vasana- People's Bank
97400,31,female,no,yes,yes,Vanitha Vasana- People's Bank
97800,32,female,no,yes,yes,Vanitha Vasana- People's Bank
98200,33,female,no,yes,yes,Vanitha Vasana- People's Bank
98600,34,female,no,yes,yes,Vanitha Vasana- People's Bank
99000,35,female,no,yes,yes,Vanitha Vasana- People's Bank
99400,36,female,no,yes,yes,Vanitha Vasana- People's Bank
99800,37,female,no,yes,yes,Vanitha Vasana- People's Bank
100200,38,female,no,yes,yes,Vanitha Vasana- People's Bank
100600,39,female,no,yes,yes,Vanitha Vasana- People's Bank
101000,40,female,no,yes,yes,Vanitha Vasana- People's Bank
101400,41,female,no,yes,yes,Vanitha Vasana- People's Bank
101800,42,female,no,yes,yes,Vanitha Vasana- People's Bank
102200,43,female,no,yes,yes,Vanitha Vasana- People's Bank
102600,44,female,no,yes,yes,Vanitha Vasana- People's Bank
103000,45,female,no,yes,yes,Vanitha Vasana- People's Bank
103400,46,female,no,yes,yes,Vanitha Vasana- People's Bank
103800,47,female,no,yes,yes,Vanitha Vasana- People's Bank
104200,48,female,no,yes,yes,Vanitha Vasana- People's Bank
104600,49,female,no,yes,yes,Vanitha Vasana- People's Bank
105000,50,female,no,yes,yes,Vanitha Vasana- People's Bank
105400,51,female,no,yes,yes,Vanitha Vasana- People's Bank
105800,52,female,no,yes,yes,Vanitha Vasana- People's Bank
106200,53,female,no,yes,yes,Vanitha Vasana- People's Bank
106600,54,female,no,yes,yes,Vanitha Vasana- People's Bank
107000,55,female,no,yes,yes,Vanitha Vasana- People's Bank
107400,18,female,no,yes,yes,Vanitha Vasana- People's Bank
107800,19,female,no,yes,yes,Vanitha Vasana- People's Bank
108200,20,female,no,yes,yes,Vanitha Vasana- People's Bank
108600,21,female,no,yes,yes,Vanitha Vasana- People's Bank
109000,22,female,no,yes,yes,Vanitha Vasana- People's Bank
109400,23,female,no,yes,yes,Vanitha Vasana- People's Bank
109800,24,female,no,yes,yes,Vanitha Vasana- People's Bank
110200,25,female,no,yes,yes,Vanitha Vasana- People's Bank
110600,26,female,no,yes,yes,Vanitha Vasana- People's Bank
111000,27,female,no,yes,yes,Vanitha Vasana- People's Bank
111400,28,female,no,yes,yes,Vanitha Vasana- People's Bank
111800,29,female,no,yes,yes,Vanitha Vasana- People's Bank
112200,30,female,no,yes,yes,Vanitha Vasana- People's Bank
112600,31,female,no,yes,yes,Vanitha Vasana- People's Bank
113000,32,female,no,yes,yes,Vanitha Vasana- People's Bank
113400,33,female,no,yes,yes,Vanitha Vasana- People's Bank
113800,34,female,no,yes,yes,Vanitha Vasana- People's Bank
114200,35,female,no,yes,yes,Vanitha Vasana- People's Bank
114600,36,female,no,yes,yes,Vanitha Vasana- People's Bank
115000,37,female,no,yes,yes,Vanitha Vasana- People's Bank
115400,38,female,no,yes,yes,Vanitha Vasana- People's Bank
115800,39,female,no,yes,yes,Vanitha Vasana- People's Bank
116200,40,female,no,yes,yes,Vanitha Vasana- People's Bank
116600,41,female,no,yes,yes,Vanitha Vasana- People's Bank
117000,42,female,no,yes,yes,Vanitha Vasana- People's Bank
117400,43,female,no,yes,yes,Vanitha Vasana- People's Bank
117800,44,female,no,yes,yes,Vanitha Vasana- People's Bank
100,1,Both,yes,no,yes,Isuru Udana-People's Bank
102,2,Both,yes,no,yes,Isuru Udana-People's Bank
104,5,Both,yes,no,yes,Isuru Udana-People's Bank
106,1,Both,yes,no,yes,Isuru Udana-People's Bank
108,2,Both,yes,no,yes,Isuru Udana-People's Bank
110,3,Both,yes,no,yes,Isuru Udana-People's Bank
112,4,Both,yes,no,yes,Isuru Udana-People's Bank
114,5,Both,yes,no,yes,Isuru Udana-People's Bank
116,2,Both,yes,no,yes,Isuru Udana-People's Bank
118,3,Both,yes,no,yes,Isuru Udana-People's Bank
120,1,Both,yes,no,yes,Isuru Udana-People's Bank
122,2,Both,yes,no,yes,Isuru Udana-People's Bank
124,3,Both,yes,no,yes,Isuru Udana-People's Bank
126,4,Both,yes,no,yes,Isuru Udana-People's Bank
128,5,Both,yes,no,yes,Isuru Udana-People's Bank
130,1,Both,yes,no,yes,Isuru Udana-People's Bank
132,2,Both,yes,no,yes,Isuru Udana-People's Bank
134,3,Both,yes,no,yes,Isuru Udana-People's Bank
136,4,Both,yes,no,yes,Isuru Udana-People's Bank
138,5,Both,yes,no,yes,Isuru Udana-People's Bank
140,1,Both,yes,no,yes,Isuru Udana-People's Bank
142,2,Both,yes,no,yes,Isuru Udana-People's Bank
144,3,Both,yes,no,yes,Isuru Udana-People's Bank
146,4,Both,yes,no,yes,Isuru Udana-People's Bank
148,5,Both,yes,no,yes,Isuru Udana-People's Bank
150,1,Both,yes,no,yes,Isuru Udana-People's Bank
